X,CH1,
Second,Volt,
-7.8309989e-03,1.52000e+00,
-7.8299986e-03,1.52000e+00,
-7.8289993e-03,1.52000e+00,
-7.8279991e-03,1.52000e+00,
-7.8269988e-03,1.52000e+00,
-7.8259986e-03,1.54000e+00,
-7.8249993e-03,1.52000e+00,
-7.8239990e-03,1.52000e+00,
-7.8229988e-03,1.52000e+00,
-7.8219995e-03,1.52000e+00,
-7.8209992e-03,1.54000e+00,
-7.8199990e-03,1.52000e+00,
-7.8189988e-03,1.54000e+00,
-7.8179995e-03,1.52000e+00,
-7.8169992e-03,1.52000e+00,
-7.8159990e-03,1.52000e+00,
-7.8149987e-03,1.52000e+00,
-7.8139994e-03,1.52000e+00,
-7.8129992e-03,1.54000e+00,
-7.8119989e-03,1.52000e+00,
-7.8109992e-03,1.52000e+00,
-7.8099989e-03,1.52000e+00,
-7.8089992e-03,1.52000e+00,
-7.8079989e-03,1.52000e+00,
-7.8069991e-03,1.52000e+00,
-7.8059989e-03,1.52000e+00,
-7.8049991e-03,1.52000e+00,
-7.8039989e-03,1.52000e+00,
-7.8029991e-03,1.52000e+00,
-7.8019989e-03,1.54000e+00,
-7.8009991e-03,1.52000e+00,
-7.7999989e-03,1.52000e+00,
-7.7989991e-03,1.54000e+00,
-7.7979988e-03,1.52000e+00,
-7.7969991e-03,1.52000e+00,
-7.7959988e-03,1.52000e+00,
-7.7949991e-03,1.52000e+00,
-7.7939993e-03,1.52000e+00,
-7.7929990e-03,1.54000e+00,
-7.7919993e-03,1.52000e+00,
-7.7909990e-03,1.54000e+00,
-7.7899992e-03,1.54000e+00,
-7.7889990e-03,1.52000e+00,
-7.7879992e-03,1.52000e+00,
-7.7869990e-03,1.54000e+00,
-7.7859992e-03,1.52000e+00,
-7.7849990e-03,1.52000e+00,
-7.7839992e-03,1.52000e+00,
-7.7829990e-03,1.50000e+00,
-7.7819992e-03,1.54000e+00,
-7.7809989e-03,1.54000e+00,
-7.7799992e-03,1.52000e+00,
-7.7789989e-03,1.52000e+00,
-7.7779992e-03,1.52000e+00,
-7.7769989e-03,1.52000e+00,
-7.7759991e-03,1.54000e+00,
-7.7749989e-03,1.52000e+00,
-7.7739991e-03,1.54000e+00,
-7.7729989e-03,1.54000e+00,
-7.7719991e-03,1.54000e+00,
-7.7709989e-03,1.52000e+00,
-7.7699991e-03,1.52000e+00,
-7.7689989e-03,1.52000e+00,
-7.7679991e-03,1.52000e+00,
-7.7669988e-03,1.54000e+00,
-7.7659991e-03,1.52000e+00,
-7.7649988e-03,1.52000e+00,
-7.7639990e-03,1.52000e+00,
-7.7629993e-03,1.52000e+00,
-7.7619990e-03,1.52000e+00,
-7.7609993e-03,1.52000e+00,
-7.7599990e-03,1.52000e+00,
-7.7589992e-03,1.52000e+00,
-7.7579990e-03,1.52000e+00,
-7.7569992e-03,1.52000e+00,
-7.7559990e-03,1.52000e+00,
-7.7549992e-03,1.52000e+00,
-7.7539990e-03,1.52000e+00,
-7.7529992e-03,1.52000e+00,
-7.7519990e-03,1.52000e+00,
-7.7509992e-03,1.52000e+00,
-7.7499989e-03,1.52000e+00,
-7.7489992e-03,1.52000e+00,
-7.7479989e-03,1.52000e+00,
-7.7469992e-03,1.52000e+00,
-7.7459989e-03,1.52000e+00,
-7.7449991e-03,1.52000e+00,
-7.7439989e-03,1.52000e+00,
-7.7429991e-03,1.52000e+00,
-7.7419989e-03,1.52000e+00,
-7.7409991e-03,1.54000e+00,
-7.7399989e-03,1.52000e+00,
-7.7389991e-03,1.52000e+00,
-7.7379989e-03,1.52000e+00,
-7.7369991e-03,1.52000e+00,
-7.7359988e-03,1.52000e+00,
-7.7349991e-03,1.54000e+00,
-7.7339988e-03,1.54000e+00,
-7.7329990e-03,1.52000e+00,
-7.7319993e-03,1.52000e+00,
-7.7309990e-03,1.52000e+00,
-7.7299993e-03,1.52000e+00,
-7.7289990e-03,1.52000e+00,
-7.7279992e-03,1.52000e+00,
-7.7269990e-03,1.52000e+00,
-7.7259992e-03,1.52000e+00,
-7.7249990e-03,1.52000e+00,
-7.7239992e-03,1.52000e+00,
-7.7229990e-03,1.52000e+00,
-7.7219992e-03,1.52000e+00,
-7.7209990e-03,1.52000e+00,
-7.7199992e-03,1.52000e+00,
-7.7189989e-03,1.52000e+00,
-7.7179992e-03,1.52000e+00,
-7.7169989e-03,1.52000e+00,
-7.7159991e-03,1.54000e+00,
-7.7149989e-03,1.52000e+00,
-7.7139991e-03,1.52000e+00,
-7.7129989e-03,1.52000e+00,
-7.7119991e-03,1.52000e+00,
-7.7109989e-03,1.52000e+00,
-7.7099991e-03,1.52000e+00,
-7.7089989e-03,1.52000e+00,
-7.7079991e-03,1.52000e+00,
-7.7069988e-03,1.52000e+00,
-7.7059991e-03,1.52000e+00,
-7.7049988e-03,1.54000e+00,
-7.7039991e-03,1.52000e+00,
-7.7029988e-03,1.52000e+00,
-7.7019990e-03,1.52000e+00,
-7.7009993e-03,1.52000e+00,
-7.6999990e-03,1.52000e+00,
-7.6989993e-03,1.52000e+00,
-7.6979990e-03,1.52000e+00,
